date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:52	210/210	---M-Z	200	added ('OK')	text/plain	etag:%221b3-618cd40c4b841-gzip%22	https://urbanchic.su/robots.txt		(from )
13:14:53	896048/896048	---MCZ	200	added ('OK')	text/html	etag:%22dac30-620409272656e-gzip%22	https://urbanchic.su/	C:/My%20Web%20Sites/Awwards/urbanchic.su/index.html	(from )
13:14:54	220627/220627	---M--	200	added ('OK')	image/jpeg	etag:%22a704a24e7fe95738ed7b8d98dc9a90d0%22	https://static.tildacdn.com/tild6238-6637-4231-b433-666639613666/download.jpg	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/tild6238-6637-4231-b433-666639613666/download.jpg	(from https://urbanchic.su/)
13:14:54	11678/11678	---M--	200	added ('OK')	image/png	etag:%22f372f5b803d5f0afb785ac8ee2bea5a7%22	https://static.tildacdn.com/tild3135-3533-4636-b661-363632616430/Group_8.png	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/tild3135-3533-4636-b661-363632616430/Group_8.png	(from https://urbanchic.su/)
13:14:55	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266c5cbb2-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	C:/My%20Web%20Sites/Awwards/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://urbanchic.su/)
13:14:55	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://urbanchic.su/)
13:14:56	12205/12205	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202024%2007:26:06%20GMT	https://static.tildacdn.com/ws/project9175211/tilda-blocks-page46846381.min.css?t=1724311566	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/ws/project9175211/tilda-blocks-page46846381.min0a2a.css	(from https://urbanchic.su/)
13:14:56	2776/2776	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccbdf9-ad8%22	https://static.tildacdn.com/css/tilda-animation-2.0.min.css	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/css/tilda-animation-2.0.min.css	(from https://urbanchic.su/)
13:14:56	1325/1325	---MCZ	200	added ('OK')	text/css	etag:W/%22605342c5-52d%22	https://static.tildacdn.com/css/highlight.min.css	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/css/highlight.min.css	(from https://urbanchic.su/)
13:14:56	2401/2401	---MCZ	200	added ('OK')	text/css	etag:W/%2265640a87-961%22	https://static.tildacdn.com/css/tilda-popup-1.1.min.css	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/css/tilda-popup-1.1.min.css	(from https://urbanchic.su/)
13:14:56	30179/30179	---MCZ	200	added ('OK')	text/css	etag:W/%2266bdb447-75e3%22	https://static.tildacdn.com/css/tilda-forms-1.0.min.css	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/css/tilda-forms-1.0.min.css	(from https://urbanchic.su/)
13:14:57	46/46	---M--	200	added ('OK')	text/css	etag:%222e-616d4e8be93bc%22	https://urbanchic.su/custom.css?t=1724311566	C:/My%20Web%20Sites/Awwards/urbanchic.su/custom0a2a.css	(from https://urbanchic.su/)
13:14:57	59731/59731	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668eb821-e953%22	https://static.tildacdn.com/js/tilda-polyfill-1.0.min.js	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/js/tilda-polyfill-1.0.min.js	(from https://urbanchic.su/)
13:14:57	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260852438-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://urbanchic.su/)
13:14:57	20462/20462	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266b9e0cf-4fee%22	https://static.tildacdn.com/js/tilda-scripts-3.0.min.js	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/js/tilda-scripts-3.0.min.js	(from https://urbanchic.su/)
13:14:58	12313/12313	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Aug%202024%2007:26:06%20GMT	https://static.tildacdn.com/ws/project9175211/tilda-blocks-page46846381.min.js?t=1724311566	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/ws/project9175211/tilda-blocks-page46846381.min0a2a.js	(from https://urbanchic.su/)
13:14:58	34756/34756	---MCZ	200	added ('OK')	application/javascript	etag:W/%22664c5223-87c4%22	https://static.tildacdn.com/js/tilda-animation-2.0.min.js	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/js/tilda-animation-2.0.min.js	(from https://urbanchic.su/)
13:14:58	738/738	---M--	404	error ('Not%20Found')	text/html	etag:%222e2-620a674a57ae6%22	https://urbanchic.su/OPR/	C:/My%20Web%20Sites/Awwards/urbanchic.su/OPR/index.html	(from https://urbanchic.su/)
13:14:58	42445/42445	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265640a91-a5cd%22	https://static.tildacdn.com/js/highlight.min.js	C:/My%20Web%20Sites/Awwards/static.tildacdn.com/js/highlight.min.js	(from https://urbanchic.su/)
